scheme,scheme_label,artifact_type,severity_label,severity_value,sample_index,score,deployment_threshold,research_threshold
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,7,27.35651397705078,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,8,34.63206100463867,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,9,27.05159568786621,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,10,22.912555694580078,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,11,22.215496063232422,38.58238201141357,32.05723571777344
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,0,33.910797119140625,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,1,28.964733123779297,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,2,27.301128387451172,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,3,33.30464553833008,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,4,34.47889709472656,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,5,32.999324798583984,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,6,24.228199005126953,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,7,26.369632720947266,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,8,36.21644592285156,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,9,32.44163513183594,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,10,32.59858703613281,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_50,0.5,11,39.61214828491211,34.763293457031246,26.80457305908203
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,0,0.00019110827997792512,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,1,0.0013852977426722646,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,2,0.0014374824240803719,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,3,0.0010145106352865696,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,4,0.0006870284560136497,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,5,0.0006282296380959451,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,6,0.0007767975912429392,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,7,0.00046497906441800296,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,8,0.0003697373904287815,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,9,0.0007369010127149522,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,10,0.0008856004569679499,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_50,0.5,11,0.00010901670611929148,0.0017387918487656,0.0001624995929887
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,0,1.0048370361328125,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,1,0.8346536159515381,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,2,0.8079450726509094,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,3,0.7724138498306274,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,4,0.5428995490074158,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,5,0.8287007212638855,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,6,0.9204311966896057,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,7,0.6964462995529175,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,8,1.124860167503357,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,9,0.576940655708313,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,10,0.9363450407981873,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_50,0.5,11,1.739349126815796,1.7220234692096696,0.6057427525520325
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,0,25.10683822631836,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,1,24.119762420654297,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,2,20.321176528930664,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,3,25.08208656311035,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,4,32.95196533203125,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,5,29.666044235229492,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,6,26.067861557006836,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,7,28.50282096862793,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,8,35.399688720703125,38.58238201141357,32.05723571777344
